Titre;Genres Netflix;Casting;Note IMDb;Date d'ajout;Lien Netflix;Type
26 Years;Films coréens|#|Thrillers|#|Films d'Asie;Goo Jin|#|Hye-jin Han|#|Soo-bin Bae|#|Seul-ong Im|#|Kyeong-yeong Lee|#|Gwang Jang|#|Deok-jae Jo|#|Eui-sung Kim|#|Seok-Hwan An|#|Bok-gi Min;6.3;2017-09-30;/title/80198771/;film
3 minutes ensemble;Docus société et culture|#|Films documentaires|#|Films mexicains|#|Films d'Amérique latine;NA;6.4;2019-10-28;/title/80244679/;film
30 ans sinon rien;Films romantiques|#|Romances pour ados|#|Comédies|#|Comédies romantiques|#|Films pour ados;Jennifer Garner|#|Mark Ruffalo|#|Judy Greer|#|Andy Serkis|#|Kathy Baker|#|Phil Reeves|#|Sam Ball|#|Marcia DeBonis|#|Christa B. Allen|#|Sean Marquette;6.1;2019-04-29;/title/60034573/;film
30 Days of Luxury;Comédies|#|Films du Moyen-Orient;Taher Farouz|#|Sad Al-Saghir|#|Ahmad Faloks|#|Soleiman Eid|#|Mahmood El-Laithi|#|Hesham Ismail|#|Shaima Saif|#|Nermin Maher|#|Sofinar;2.8;2019-04-22;/title/81035844/;film
30 minutes maximum;Comédies|#|Action et aventure|#|Comédies d'action;Jesse Eisenberg|#|Danny McBride|#|Aziz Ansari|#|Nick Swardson|#|Dilshad Vadsaria|#|Michael Peña|#|Bianca Kajlich|#|Fred Ward;6.1;2018-03-30;/title/70167074/;film
300;Action et aventure|#|Action;Gerard Butler|#|Lena Headey|#|Dominic West|#|David Wenham|#|Vincent Regan|#|Michael Fassbender|#|Tom Wisdom|#|Andrew Pleavin|#|Andrew Tiernan|#|Rodrigo Santoro|#|Giovani Cimmino|#|Stephen McHattie|#|Alex Ivanovici;7.6;2019-10-15;/title/70056440/;film
300 : La naissance d'un empire;Action et aventure|#|Action|#|Films inspirés de faits réels|#|Aventure;Sullivan Stapleton|#|Eva Green|#|Lena Headey|#|Hans Matheson|#|Callan Mulvey|#|David Wenham|#|Rodrigo Santoro|#|Jack O'Connell|#|Andrew Tiernan;6.2;2017-10-14;/title/70269488/;film
4 mois, 3 semaines, 2 jours;Films roumains|#|Films indépendants|#|Drames|#|Drames sociaux;Anamaria Marinca|#|Laura Vasiliu|#|Vlad Ivanov|#|Alexandru Potocean|#|Luminita Gheorghiu|#|Adi Carauleanu|#|Liliana Mocanu|#|Tania Popa;7.9;2019-12-25;/title/70071602/;film
48 vœux de Noël;Comédies|#|Films jeunesse et famille|#|SF et fantastique pour la famille|#|Comédies pour la famille;Khiyla Aynne|#|Noah Dyer|#|Maya Franzoi|#|Clara Kushnir|#|Madeline Leon|#|Liam MacDonald|#|Matt Schichter|#|Ethan Yang|#|Adam Crew;4.0;2018-11-07;/title/80232740/;film
4L;Comédies|#|Films indépendants|#|Drames|#|Films espagnols;Jean Reno|#|Hovik Keuchkerian|#|Susana Abaitua|#|Juan Dos Santos|#|Arturo Valls|#|Enrique San Francisco|#|Francesc Garrido|#|Eric Nguyen;5.9;2019-07-12;/title/80221109/;film
4th Man Out;Comédies|#|Films LGBTQ;Evan Todd|#|Parker Young|#|Chord Overstreet|#|Jon Gabrus|#|Kate Flannery|#|Brooke Dillman|#|Jennifer Damiano|#|Jordan Lane Price|#|Alex Rennie|#|Jake Epstein;6.7;2016-05-04;/title/80087897/;film
5 Fingers;Westerns|#|Drames|#|Films africains;Vuyo Dabula|#|Hamilton Dhlamini|#|Zethu Dlomo|#|Kenneth Nkosi|#|Mduduzi Mabaso|#|Aubrey Poolo|#|Anthony Oseyemi|#|Jerry Mofokeng|#|Kenneth Fok|#|Dean Fourie|#|Brendon Daniels;NA;2018-06-01;/title/80216612/;film
5 Minarets à New York;Films turcs|#|Action et aventure|#|Action|#|Thrillers d'action;Haluk Bilginer|#|Mahsun Kırmızıgül|#|Mustafa Sandal|#|Gina Gershon|#|Robert Patrick|#|Danny Glover|#|Engin Altan Düzyatan|#|Scott William Winters|#|Sharrieff Pugh;5.8;2018-10-10;/title/70233894/;film
6 ans;Films indépendants|#|Films romantiques|#|Drames romantiques|#|Drames;Taissa Farmiga|#|Ben Rosenfield|#|Lindsay Burdge|#|Joshua Leonard|#|Jennifer Lafleur|#|Peter Vack|#|Dana Wheeler-Nicholson|#|Jason Newman|#|Molly McMichael;5.6;2015-09-07;/title/80045922/;film
6 Balloons;Films indépendants|#|Drames;Abbi Jacobson|#|Dave Franco|#|Jane Kaczmarek|#|Tim Matheson|#|Charlotte Carel|#|Madeline Carel|#|Maya Erskine|#|Dawan Owens|#|Jen Tullock;5.8;2018-04-06;/title/80130625/;film
6 Days;Films inspirés de faits réels|#|Films british|#|Action et aventure|#|Action|#|Thrillers d'action;Jamie Bell|#|Abbie Cornish|#|Mark Strong|#|Martin Shaw|#|Ben Turner|#|Aymen Hamdouchi|#|Tim Pigott-Smith|#|Robert Portal|#|Colin Garlick|#|Andrew Grainger|#|Martin Hancock|#|Emun Elliott;6.2;2017-11-03;/title/80178280/;film
6 Underground;Action et aventure;Ryan Reynolds|#|Mélanie Laurent|#|Corey Hawkins|#|Dave Franco|#|Adria Arjona|#|Manuel Garcia-Rulfo|#|Ben Hardy|#|Lior Raz|#|Payman Maadi|#|Yuri Kolokolnikov|#|Kim Kold;6.1;2019-12-13;/title/81001887/;film
7 años;Drames|#|Films espagnols;Paco León|#|Juana Acosta|#|Juan Pablo Raba|#|Alex Brendemühl|#|Manuel Morón;6.8;2016-10-27;/title/80095197/;film
7:19;Films mexicains|#|Films d'Amérique latine|#|Drames;Demián Bichir|#|Héctor Bonilla|#|Oscar Serrano|#|Azalia Ortiz|#|Octavio Michel|#|Carmen Beato;6.0;2016-12-22;/title/80134885/;film
90 minutes au paradis;Drames|#|Films inspirés de faits réels|#|Films inspirés de livres;Hayden Christensen|#|Kate Bosworth|#|Dwight Yoakam|#|Michael W. Smith|#|Fred Dalton Thompson|#|Michael Harding|#|Marshall Bell|#|Cynthia Barrett;4.7;2019-07-16;/title/80066891/;film
93 jours;Films inspirés de faits réels|#|Thrillers|#|Films africains|#|Films Nollywood|#|Films internationaux;Bimbo Akintola|#|Somkele Iyamah|#|Danny Glover|#|Gideon Okeke|#|Seun Kentebe|#|Keppy Ekpenyong|#|Zara Udofia Ejoh|#|Bimbo Manuel|#|Patrick Diabuah|#|Tina Mba|#|Alastair Mackenzie|#|Tim Reid;6.1;2019-11-15;/title/81172895/;film
96 heures;Films français|#|Thrillers|#|Thrillers français;Niels Arestrup|#|Gérard Lanvin|#|Sylvie Testud|#|Anne Consigny|#|Laura Smet|#|Slimane Dazi|#|Cyril Lecomte|#|Jochen Hagele|#|Pierre Kiwitt|#|Jules Balekdjian;NA;2019-08-24;/title/81000056/;film
99 Homes;Films indépendants|#|Drames;Andrew Garfield|#|Michael Shannon|#|Laura Dern|#|Tim Guinee|#|Noah Lomax|#|Clancy Brown|#|J.D. Evermore;7.1;2018-07-01;/title/80015788/;film
À 14 ans;Films français|#|Drames|#|Drames français;Najaa Bensaid|#|Galatéa Bellugi|#|Athalia Routier|#|Françoise Lebrun|#|Louis Jacq|#|Kevin Château;NA;2018-12-01;/title/80053550/;film
A Certain Magical Index: The Movie －The Miracle of Endymion;Anime d'action|#|Action, SF et fantastique|#|Anime SF et fantastique|#|Animation japonaise sur l'école|#|Animes inspirés de light novels|#|Films d'animation japonaise|#|Action et aventure|#|Action|#|SF et fantastique|#|Films japonais|#|SF;Atsushi Abe|#|Yuka Iguchi|#|Rina Satou|#|Shizuka Ito|#|Kisho Taniyama|#|Mamiko Noto|#|Anri Katsu|#|Nobuhiko Okamoto|#|Nozomi Sasaki|#|Kimiko Koyama|#|Satomi Arai|#|Aki Toyosaki|#|Sachika Misawa|#|Yoko Hikasa|#|Ayane Sakura;6.5;2019-08-01;/title/80193514/;film
A Christmas Prince;Films jeunesse et famille|#|Films romantiques|#|Drames romantiques|#|Drames;Rose McIver|#|Ben Lamb|#|Alice Krige|#|Honor Kneafsey;5.7;2017-11-17;/title/80160759/;film
